                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.0098,                0.55509,                 0.9966,                 0.9294,                0.96175,                0.94344,                0.66638,                  1.068,                0.63001,                 1.0269,             0.00096251,             0.00096251,             0.00096251
                     84,                 1.0263,                0.54906,                 1.0282,                0.90773,                 0.9582,                0.95284,                0.65899,                 1.1226,                0.65319,                 1.0592,             0.00096068,             0.00096068,             0.00096068
                     85,                 1.0611,                0.57332,                0.97989,                0.90773,                 0.9582,                0.95284,                0.65899,                 1.1226,                0.65319,                 1.0592,             0.00095885,             0.00095885,             0.00095885
                     86,                 1.0434,                0.56085,                 1.0059,                0.89046,                0.90803,                0.91941,                0.64858,                 1.0706,                0.73237,                 1.0308,             0.00095702,             0.00095702,             0.00095702
                     87,                 1.0011,                0.55723,                 1.0109,                0.93136,                0.94363,                0.94937,                 0.6983,                0.97332,                0.58277,                0.99711,             0.00095518,             0.00095518,             0.00095518
                     88,                 1.0081,                0.51837,                 1.0027,                0.90673,                0.93724,                0.94384,                 0.7175,                0.95133,                0.57393,                0.98495,             0.00095335,             0.00095335,             0.00095335
                     89,                0.98585,                0.50793,                0.99835,                0.90673,                0.93724,                0.94384,                 0.7175,                0.95133,                0.57393,                0.98495,             0.00095152,             0.00095152,             0.00095152
                     90,                 1.0093,                0.54711,                 1.0203,                0.91003,                0.92105,                0.92813,                0.71567,                0.94248,                0.55968,                0.97821,             0.00094968,             0.00094968,             0.00094968
                     91,                0.96914,                0.57268,                0.99917,                0.86823,                0.93667,                0.90586,                 0.6885,                0.94202,                0.64966,                0.97865,             0.00094785,             0.00094785,             0.00094785
                     92,                0.91611,                0.48723,                0.94692,                0.89029,                 0.8712,                0.90593,                 0.6753,                0.97786,                 0.8048,                 0.9985,             0.00094602,             0.00094602,             0.00094602
                     93,                0.97126,                0.57826,                 1.0144,                0.89029,                 0.8712,                0.90593,                 0.6753,                0.97786,                 0.8048,                 0.9985,             0.00094418,             0.00094418,             0.00094418
                     94,                0.99481,                0.54478,                 1.0077,                0.89412,                0.91188,                0.90164,                0.65455,                 1.0702,                0.71682,                  1.041,             0.00094235,             0.00094235,             0.00094235
                     95,                 1.0232,                0.57001,                0.98021,                0.96252,                0.95619,                0.96263,                0.70581,                 1.0443,                0.53052,                  1.021,             0.00094052,             0.00094052,             0.00094052
                     96,                0.97679,                0.51625,                 0.9995,                 0.9454,                0.96527,                0.96297,                0.72317,                 1.0146,                0.52464,                 1.0002,             0.00093868,             0.00093868,             0.00093868
                     97,                 0.9727,                0.50617,                0.98117,                 0.9454,                0.96527,                0.96297,                0.72317,                 1.0146,                0.52464,                 1.0002,             0.00093685,             0.00093685,             0.00093685
                     98,                0.94726,                0.52837,                0.98495,                0.94716,                0.94974,                 0.9725,                0.71559,                 1.0617,                0.52552,                 1.0266,             0.00093502,             0.00093502,             0.00093502
